window_size,lstm_0_nodes,lstm_1_nodes,perceptron_0_nodes,perceptron_1_nodes,perceptron_2_nodes,dropout_rate,learning_rate,fh1_mape_fold0,fh1_mse_fold0,fh1_rmse_fold0,fh5_mape_fold0,fh5_mse_fold0,fh5_rmse_fold0,fh10_mape_fold0,fh10_mse_fold0,fh10_rmse_fold0,fh1_mape_fold1,fh1_mse_fold1,fh1_rmse_fold1,fh5_mape_fold1,fh5_mse_fold1,fh5_rmse_fold1,fh10_mape_fold1,fh10_mse_fold1,fh10_rmse_fold1,fh1_mape_fold2,fh1_mse_fold2,fh1_rmse_fold2,fh5_mape_fold2,fh5_mse_fold2,fh5_rmse_fold2,fh10_mape_fold2,fh10_mse_fold2,fh10_rmse_fold2,fh1_mape_fold3,fh1_mse_fold3,fh1_rmse_fold3,fh5_mape_fold3,fh5_mse_fold3,fh5_rmse_fold3,fh10_mape_fold3,fh10_mse_fold3,fh10_rmse_fold3,fh1_mape_fold4,fh1_mse_fold4,fh1_rmse_fold4,fh5_mape_fold4,fh5_mse_fold4,fh5_rmse_fold4,fh10_mape_fold4,fh10_mse_fold4,fh10_rmse_fold4
60,16,4,16,16,16,0.2,0.0015,10.644346237182615,1.2377182429190723e-05,0.0035181220155209,14.84121036529541,2.3570206394651905e-05,0.0048549156635999,17.846479415893555,4.1557799704605713e-05,0.0064465338364243,9.84250831604004,3.928520527551882e-06,0.0019820495508611,12.324204444885254,8.757510840951e-06,0.0029593091458082,12.89905834197998,9.83547761279624e-06,0.003136156592518,10.525177001953123,3.805828782788012e-06,0.0019508533878251,13.082427024841309,6.233110070752446e-06,0.002496619708836,13.936797142028809,6.646970632573357e-06,0.0025781719014048,9.878599166870115,3.08496373691014e-06,0.0017564065055921,12.478153228759766,5.6755948207865e-06,0.0023823506198823,13.221440315246582,6.126485914137447e-06,0.0024751739110797,11.171724319458008,9.300432793679649e-06,0.0030496609397232,15.341084480285645,3.097288936260156e-05,0.0055653294548392,17.033065795898438,4.69660953967832e-05,0.0068531814031302
60,16,0,16,16,4,0.2,0.002,9.558329582214355,1.0341232155042237e-05,0.0032157786190509,15.167595863342283,2.886688344005961e-05,0.0053727910853922,18.12874221801757,4.054288365296088e-05,0.0063673290424048,9.842784881591797,4.328564955358161e-06,0.002080520382151,12.238527297973633,8.55993312143255e-06,0.0029257363639771,13.074960708618164,1.0021080925071146e-05,0.0031656089704483,10.122081756591797,3.5178261441615177e-06,0.0018755868077278,13.141860008239746,6.010950983181829e-06,0.0024517241399735,13.958856582641602,6.7985733949171845e-06,0.0026074072811752,9.493162155151367,2.790774260574836e-06,0.0016705610323697,12.528098106384276,5.660781880578725e-06,0.0023792397696524,13.276867866516112,6.328105882857926e-06,0.0025155725888907,11.14926815032959,8.986568900581915e-06,0.0029977606609463,15.353055000305176,3.1644860428059474e-05,0.0056253764778375,16.578336715698242,4.4241216528462246e-05,0.0066514071077108
40,16,16,32,32,0,0.4,0.001,9.83243179321289,1.0564454896666575e-05,0.0032503006514161,15.46928596496582,2.9492872272385284e-05,0.0054307337850332,17.65544319152832,3.909442966687493e-05,0.0062525537796318,9.963934898376465,4.101631475350587e-06,0.0020252484828233,12.265863418579102,7.980455848155543e-06,0.0028249700553715,12.926660537719728,9.534027412883006e-06,0.0030877219978719,10.172953605651855,3.4705612961261068e-06,0.0018629442201927,13.131644248962402,6.099071924836608e-06,0.0024696299806237,14.10414695739746,6.652813681284897e-06,0.0025793048553168,9.557695388793944,2.964815848827129e-06,0.0017218639841303,12.513279914855955,5.397399490902899e-06,0.0023232302628457,12.964942932128906,5.892275567020988e-06,0.0024274010211229,11.249719619750977,1.031441024679225e-05,0.0032116055954247,15.58861255645752,2.996620060002897e-05,0.0054741390049457,17.401105880737305,4.6308781747939065e-05,0.006805055309087
60,32,4,32,32,0,0.0,0.001,9.489174842834473,1.0171709618589375e-05,0.0031893118284642,14.994511604309082,2.8970711355214007e-05,0.0053824447095394,17.49576187133789,4.134777918807231e-05,0.0064302240498363,9.667293548583984,3.7332060855987935e-06,0.0019321505678817,12.25338363647461,8.30191402201308e-06,0.0028813041280955,12.983734130859377,1.0131851013284177e-05,0.0031830568332225,10.41709041595459,3.683873046611552e-06,0.0019193418556824,13.303662300109863,6.221402600203874e-06,0.0024942739401012,14.019123077392578,6.804318672948284e-06,0.0026085088029503,9.469793319702148,2.874035544664366e-06,0.0016952980076894,12.571945190429688,5.667818186338991e-06,0.002380718011409,13.222634315490724,5.9942335610685404e-06,0.002448312472552,11.102371215820312,9.736525498738048e-06,0.0031203406397253,15.178936958312988,2.894219142035581e-05,0.0053797946311533,16.851404190063477,4.2829764424823225e-05,0.0065444451756775
20,32,4,32,32,32,0.0,0.0015,10.204002380371094,1.1167176126036791e-05,0.0033417325466871,15.838194847106934,2.990522625623271e-05,0.0054685669019818,18.927474975585938,4.437261304701679e-05,0.0066612767986953,9.768633842468262,3.947261120629264e-06,0.0019867713563144,12.518566131591797,8.43490670376923e-06,0.0029042910318821,12.796516418457031,9.578373465046752e-06,0.003094894811511,10.164725303649902,3.430942797422176e-06,0.001852280460298,13.43169116973877,6.317551651591202e-06,0.0025134740862995,13.934001922607422,6.632283202634426e-06,0.0025753218214958,10.594526290893556,3.7073784824315226e-06,0.0019254554063081,13.229811668395996,6.794547516619787e-06,0.0026066352147608,13.6903715133667,7.295870545931393e-06,0.00270108692348,11.373238563537598,9.6877165560727e-06,0.0031125096138566,15.675297737121582,2.720717020565644e-05,0.0052160490304231,17.147438049316406,3.73446564481128e-05,0.0061110272072255
40,32,0,16,4,0,0.2,0.001,9.792169570922852,1.1566587090783289e-05,0.0034009686205536,16.924522399902344,3.838098200503737e-05,0.0061952387914061,19.0171012878418,5.090279591968283e-05,0.0071346196345984,9.65494441986084,3.965241376135964e-06,0.0019912912975996,12.408495903015137,8.461242941848468e-06,0.002908821683377,13.113263130187988,9.95256232272368e-06,0.0031547681428492,10.099529266357422,3.500973889458692e-06,0.0018710889853537,13.112554550170898,6.024644790159073e-06,0.002454515080899,14.209471702575684,6.626153208344476e-06,0.0025741315912455,9.55885410308838,3.0977055303083034e-06,0.001760029932484,12.501009941101074,5.439112555905012e-06,0.0023321905173361,12.98611831665039,5.8178270592179615e-06,0.0024120172020047,11.338094711303713,1.0499434210942129e-05,0.0032402831129729,15.19428539276123,2.886350011976901e-05,0.0053724758327007,16.777090072631836,4.1700899600982666e-05,0.0064576235599815
20,32,4,16,4,0,0.4,0.001,11.421762466430664,1.5615734810126014e-05,0.0039516747929155,16.224531173706055,3.33482566929888e-05,0.0057747950777411,20.680627822875977,5.3206360462354496e-05,0.0072942688129842,10.133609771728516,4.433667072589742e-06,0.0021056274417787,12.449755668640137,8.30263797979569e-06,0.002881429856643,12.704691886901855,9.560895705362782e-06,0.0030920698773115,10.255586624145508,3.568435886336374e-06,0.001889030332677,12.99899673461914,5.956072527624201e-06,0.0024405065923929,13.97465705871582,6.579528871952789e-06,0.0025650591123849,10.473140716552734,3.833881692116847e-06,0.0019580300431698,13.178207397460938,6.688479970762273e-06,0.0025862094480544,13.65238094329834,7.119248493836494e-06,0.0026681919116526,11.358964920043944,8.758405783737544e-06,0.0029594602528959,15.50868320465088,2.528406730561983e-05,0.0050283265300095,17.76260757446289,4.464996527531184e-05,0.0066820629872381
60,32,16,32,0,0,0.2,0.0005,9.69961929321289,1.089178567781346e-05,0.0033002705313265,16.386171340942383,3.6267138057155535e-05,0.0060222204774618,18.62388801574707,4.954448013450019e-05,0.0070387837477028,9.924627304077148,4.324665042076958e-06,0.002079582773149,12.389178276062012,8.528048965672497e-06,0.0029202823061496,13.178651809692385,1.056476503435988e-05,0.0032503483816981,10.283257484436035,3.505242602841463e-06,0.001872229273431,13.12372589111328,6.165817922010319e-06,0.002483106451109,14.118833541870115,6.685593234578846e-06,0.0025856513530015,9.582171440124512,2.897074182328652e-06,0.0017020793166011,12.611649513244627,5.5052819334378e-06,0.0023463335819542,13.072715759277344,6.18633794147172e-06,0.0024872350040823,11.324798583984377,9.609066182747483e-06,0.0030998494476079,15.259496688842772,3.200665378244594e-05,0.0056574423797428,16.781187057495117,4.35674301115796e-05,0.0066005629487335
40,16,4,4,4,0,0.2,0.002,9.722463607788086,1.1355954484315587e-05,0.0033698596525937,15.409239768981934,2.979040436912328e-05,0.0054580587893724,17.84173583984375,3.927143552573398e-05,0.0062666926532983,9.69444179534912,3.855107024719473e-06,0.0019634426571428,12.369441986083984,7.89244586485438e-06,0.0028093496803194,13.028127670288086,1.0033012586063704e-05,0.0031674930360168,10.197103500366213,3.506884013404488e-06,0.0018726675771176,13.08777141571045,6.173011115606641e-06,0.0024845544248819,14.06946849822998,6.634985311393393e-06,0.002575846388936,10.756424903869627,3.672163529699901e-06,0.0019162889802828,12.506698608398438,5.482239430421032e-06,0.002341418294236,13.092663764953612,6.084859705879353e-06,0.0024667507968842,11.173622131347656,8.906824405130465e-06,0.0029844304081052,15.583118438720703,3.148107134620659e-05,0.0056107994168996,17.15395736694336,4.475505920709111e-05,0.006689921952784
20,4,4,4,0,0,0.0,0.0015,9.853968620300291,1.0633107194735205e-05,0.0032608446199446,16.600238800048828,3.3313834137516096e-05,0.0057718139141798,19.60309791564941,5.08477351104375e-05,0.007130759768188,9.84252643585205,4.00784847442992e-06,0.0020019609946757,12.297627449035645,8.238644113589544e-06,0.0028703038115054,12.78317642211914,9.622736797609832e-06,0.0031020536553114,10.215749740600586,3.440898808548809e-06,0.0018549659289419,13.17835807800293,5.879169293621089e-06,0.0024246997199952,14.10880184173584,6.415190910047386e-06,0.0025328227784484,9.721124649047852,3.1278379992727423e-06,0.0017685694620013,13.14847183227539,6.437315732910065e-06,0.0025371864903718,13.75512981414795,7.221966370707378e-06,0.0026873715687543,11.296361923217772,9.02227566257352e-06,0.0030037104152143,15.61633014678955,2.7135689379065298e-05,0.0052091926336288,17.573945999145508,3.959739478887059e-05,0.0062926458194851
