epoch,loss,mean_squared_error,root_mean_squared_error,val_loss,val_mean_squared_error,val_root_mean_squared_error
0,224.6665496826172,0.0021759471856057644,0.046647049486637115,25.723743438720703,1.4237376490200404e-05,0.003773244796320796
1,34.61684799194336,5.682627306669019e-05,0.007538320031017065,39.233726501464844,1.4144547094474547e-05,0.003760923631489277
2,21.022279739379883,2.7957205020356923e-05,0.005287457257509232,37.63430404663086,1.3273707736516371e-05,0.0036433099303394556
3,21.447723388671875,2.8874103009002283e-05,0.0053734625689685345,49.48408126831055,2.0661138478317298e-05,0.004545452538877726
4,21.940475463867188,2.7177246010978706e-05,0.005213180091232061,38.57667922973633,1.3664531252288725e-05,0.00369655666872859
5,18.338117599487305,2.507753742975183e-05,0.005007747560739517,14.962732315063477,6.320476586552104e-06,0.002514055697247386
6,19.598676681518555,2.517788379918784e-05,0.005017756950110197,16.83833122253418,5.6790345297486056e-06,0.002383072394877672
7,22.490272521972656,2.599575418571476e-05,0.0050986032001674175,13.71676254272461,6.318480245681712e-06,0.002513658720999956
8,18.884721755981445,2.3906748538138345e-05,0.004889452829957008,41.12846374511719,1.4797974472458009e-05,0.0038468134589493275
9,20.87433624267578,2.4530780137865804e-05,0.004952855873852968,27.539499282836914,1.3959735042590182e-05,0.003736272919923067
10,19.859725952148438,2.3387017790810205e-05,0.004836012609302998,16.940793991088867,8.32910791359609e-06,0.002886019414290786
11,21.79609489440918,2.36082159972284e-05,0.004858828615397215,23.80108642578125,1.043869269778952e-05,0.003230896545574069
12,20.13575553894043,2.1486450350494124e-05,0.004635347984731197,26.762300491333008,7.537998499174137e-06,0.002745541511103511
13,17.279687881469727,1.8217169781564735e-05,0.004268157761543989,11.758663177490234,4.85032705910271e-06,0.0022023457568138838
14,18.29319190979004,2.04654843400931e-05,0.004523879382759333,17.536848068237305,4.624449047696544e-06,0.0021504531614482403
15,17.522878646850586,1.873089604487177e-05,0.004327920265495777,12.716452598571777,4.029433512187097e-06,0.0020073449704796076
16,18.54545021057129,1.9753273591049947e-05,0.004444465506821871,78.13550567626953,5.9486796089913696e-05,0.007712768390774727
17,19.367733001708984,1.9703962607309222e-05,0.004438914358615875,48.05893325805664,2.5641065803938545e-05,0.005063700955361128
18,16.51436996459961,1.7285277863265947e-05,0.004157556686550379,15.519917488098145,5.929572125751292e-06,0.002435071161016822
19,18.67765235900879,1.932906343427021e-05,0.004396482836455107,11.262146949768066,4.207178790238686e-06,0.0020511408802121878
20,17.757543563842773,1.771065035427455e-05,0.004208402242511511,11.962981224060059,3.983630904258462e-06,0.0019959034398198128
21,16.69698143005371,1.842184974520933e-05,0.00429206807166338,12.185036659240723,5.035461526858853e-06,0.0022439833264797926
22,16.771669387817383,1.7812995793065056e-05,0.00422054436057806,16.572124481201172,6.305915576376719e-06,0.0025111581198871136
23,16.229583740234375,1.7237072825082578e-05,0.004151755478233099,11.441191673278809,4.073455784237012e-06,0.002018280327320099
24,15.775782585144043,1.5422998330905102e-05,0.0039272126741707325,12.995397567749023,4.254853593010921e-06,0.002062729559838772
25,15.491558074951172,1.5719580915174447e-05,0.003964792937040329,11.131978034973145,3.899170224030968e-06,0.001974631566554308
26,17.116647720336914,1.619367321836762e-05,0.00402413634583354,11.429855346679688,3.644038770289626e-06,0.0019089365378022194
27,15.3253755569458,1.6025409422582015e-05,0.004003174602985382,13.146749496459961,3.8611929085163865e-06,0.0019649919122457504
28,16.147729873657227,1.5134835848584771e-05,0.003890351625159383,29.76880645751953,1.280175092688296e-05,0.00357795343734324
29,15.603696823120117,1.571738175698556e-05,0.003964515402913094,11.795767784118652,4.610810265148757e-06,0.002147279679775238
30,15.55949878692627,1.4389362149813678e-05,0.003793331328779459,14.022599220275879,3.7780489492433844e-06,0.001943720388226211
31,15.07768440246582,1.6049467376433313e-05,0.004006178583949804,13.246030807495117,3.900860519934213e-06,0.0019750595092773438
32,15.440900802612305,1.5495546904276125e-05,0.003936438355594873,16.70627784729004,6.028821644576965e-06,0.0024553658440709114
33,16.77572250366211,1.597194204805419e-05,0.003996491432189941,18.027019500732422,7.019529675744707e-06,0.002649439498782158
34,15.897992134094238,1.552048524899874e-05,0.003939604386687279,19.3802433013916,4.723360689240508e-06,0.0021733292378485203
35,14.578149795532227,1.4329912119137589e-05,0.0037854870315641165,12.876911163330078,3.4330107610003324e-06,0.0018528385553508997
36,16.802753448486328,1.5024907042970881e-05,0.0038761973846703768,23.27638053894043,8.809547580312937e-06,0.0029680882580578327
37,16.760921478271484,1.533874456072226e-05,0.003916470799595118,31.30923080444336,9.637764378567226e-06,0.003104474861174822
38,15.37601375579834,1.458557198930066e-05,0.0038191061466932297,11.971400260925293,4.183735200058436e-06,0.0020454181358218193
39,14.564192771911621,1.3312263945408631e-05,0.003648597514256835,11.656167030334473,3.6748831462318776e-06,0.0019169984152540565
40,14.272958755493164,1.2652587429329287e-05,0.003557047573849559,12.166387557983398,3.7192573927313788e-06,0.001928537618368864
41,15.751167297363281,1.3752286577073392e-05,0.0037084075156599283,15.940072059631348,3.891052074322943e-06,0.0019725749734789133
42,15.104254722595215,1.3203537491790485e-05,0.0036336672492325306,14.131757736206055,3.6426949918677565e-06,0.0019085844978690147
43,14.404536247253418,1.3192268852435518e-05,0.003632116364315152,13.637682914733887,3.4564191082608886e-06,0.0018591447733342648
44,15.22838306427002,1.4514135727949906e-05,0.0038097421638667583,20.695676803588867,5.0043231567542534e-06,0.002237034495919943
45,15.079855918884277,1.2922349014843348e-05,0.0035947668366134167,40.3529167175293,1.8264334357809275e-05,0.004273679107427597
