epoch,loss,mean_squared_error,root_mean_squared_error,val_loss,val_mean_squared_error,val_root_mean_squared_error
0,294.3410339355469,0.008329503238201141,0.09126611053943634,37.7767219543457,2.183811375289224e-05,0.004673126619309187
1,30.06723403930664,3.786192974075675e-05,0.006153204943984747,29.258771896362305,9.912589121086057e-06,0.003148426301777363
2,26.409833908081055,2.9010183425270952e-05,0.0053861103951931,60.30177688598633,3.2595256925560534e-05,0.005709225777536631
3,25.717411041259766,2.4024773665587418e-05,0.004901507403701544,41.49614715576172,1.6901576600503176e-05,0.004111152607947588
4,28.22547149658203,2.559173481131438e-05,0.005058827344328165,69.22727966308594,4.2045598092954606e-05,0.006484257522970438
5,32.428157806396484,3.0528954084729776e-05,0.005525301210582256,67.7361068725586,4.034717130707577e-05,0.00635194219648838
6,21.148670196533203,1.8352613551542163e-05,0.004283994901925325,18.240869522094727,5.519007572729606e-06,0.002349256770685315
7,18.032304763793945,1.5332985640270635e-05,0.003915735520422459,12.372833251953125,5.485931524162879e-06,0.0023422064259648323
8,20.50101661682129,1.7482820112491027e-05,0.004181246273219585,63.40230941772461,3.791426570387557e-05,0.006157455965876579
9,24.855634689331055,2.036284058704041e-05,0.004512520506978035,21.094223022460938,6.727206255163765e-06,0.0025936858728528023
10,18.08505630493164,1.5876836187089793e-05,0.003984574694186449,55.161006927490234,3.3439988328609616e-05,0.005782731808722019
11,20.639118194580078,1.6988331481115893e-05,0.004121690057218075,264.0744323730469,0.0005985507741570473,0.024465296417474747
12,18.724727630615234,1.49680772665306e-05,0.0038688599597662687,120.90428161621094,0.00012509959924500436,0.011184792965650558
13,17.230796813964844,1.3641307305078954e-05,0.00369341392070055,167.23057556152344,0.00024416856467723846,0.01562589406967163
14,17.576847076416016,1.3152486644685268e-05,0.00362663553096354,55.86183547973633,2.8611464585992508e-05,0.00534896831959486
15,18.821687698364258,1.4926865333109163e-05,0.0038635300006717443,43.483154296875,1.8961385649163276e-05,0.004354467149823904
16,16.457660675048828,1.2398739272612147e-05,0.003521184204146266,59.55218505859375,3.199341881554574e-05,0.0056562721729278564
17,17.33295440673828,1.2715290722553618e-05,0.003565850667655468,17.273239135742188,7.572500180685893e-06,0.0027518176939338446
18,18.736961364746094,1.3692169886780903e-05,0.0037002931348979473,82.77239227294922,7.106309931259602e-05,0.008429893292486668
19,18.27195167541504,1.4134408957033884e-05,0.003759575542062521,68.7566909790039,4.133246329729445e-05,0.006429032888263464
20,17.96636199951172,1.3287487490742933e-05,0.003645200515165925,31.015085220336914,9.96300695987884e-06,0.0031564231030642986
21,15.54300308227539,1.2184488696220797e-05,0.0034906286746263504,140.28460693359375,0.00016836027498356998,0.012975371442735195
22,16.499361038208008,1.1742911738110706e-05,0.0034267932642251253,72.63233184814453,5.0058482884196565e-05,0.007075201719999313
23,14.691858291625977,1.0808475963131059e-05,0.003287624567747116,52.346153259277344,2.4903261873987503e-05,0.004990316927433014
24,17.083574295043945,1.2560474715428427e-05,0.003544075880199671,351.1634521484375,0.0010566721903160214,0.032506491988897324
25,15.102631568908691,1.1403648386476561e-05,0.0033769288565963507,376.7193298339844,0.001218288904055953,0.03490399569272995
26,15.79293441772461,1.1613620699790772e-05,0.0034078762400895357,29.133405685424805,1.1526620255608577e-05,0.0033950875513255596
27,15.603311538696289,1.2019978385069408e-05,0.003466984024271369,25.170547485351562,7.439109140250366e-06,0.002727472921833396
