epoch,loss,mean_squared_error,root_mean_squared_error,val_loss,val_mean_squared_error,val_root_mean_squared_error
0,98.31189727783203,0.0004733930400107056,0.021757597103714943,31.418537139892578,0.00012299921945668757,0.011090501211583614
1,24.523292541503906,2.102814323734492e-05,0.0045856451615691185,69.18484497070312,0.0002791088481899351,0.016706550493836403
2,33.38618087768555,2.925949047494214e-05,0.00540920440107584,39.60205078125,0.00015663832891732454,0.012515523470938206
3,19.67838478088379,1.8781904145726003e-05,0.004333809483796358,34.393489837646484,0.0001347223442280665,0.011606995947659016
4,19.700153350830078,1.7976490198634565e-05,0.004239869304001331,29.22100257873535,0.00011221467866562307,0.010593143291771412
5,26.31509017944336,2.2775417164666578e-05,0.0047723595052957535,36.85910415649414,0.00014122991706244648,0.011884019710123539
6,22.08119773864746,1.8719621948548593e-05,0.004326617810875177,30.131868362426758,9.050724474946037e-05,0.00951352994889021
7,21.044374465942383,1.6976691767922603e-05,0.004120278172194958,23.196075439453125,5.9797985159093514e-05,0.0077329156920313835
8,17.468517303466797,1.5560941392323002e-05,0.00394473597407341,41.850215911865234,7.007011299720034e-05,0.00837078969925642
9,16.36777114868164,1.4589689271815587e-05,0.0038196451496332884,26.875192642211914,8.097017416730523e-05,0.008998342789709568
10,18.20326805114746,1.5792889826116152e-05,0.0039740270003676414,19.669466018676758,4.753085886477493e-05,0.006894262973219156
11,18.284364700317383,1.550417800899595e-05,0.003937534522265196,27.439395904541016,3.565577571862377e-05,0.005971245933324099
12,16.83786392211914,1.4535629816236906e-05,0.003812562208622694,21.067378997802734,4.8128105845535174e-05,0.006937442347407341
13,16.947168350219727,1.4506862498819828e-05,0.0038087875582277775,18.771953582763672,3.602165088523179e-05,0.006001804023981094
14,19.09199333190918,1.5025003449409269e-05,0.003876209957525134,19.694528579711914,4.8609963414492086e-05,0.006972084753215313
15,15.256820678710938,1.3144167496648151e-05,0.003625488607212901,15.84030532836914,3.136169834760949e-05,0.005600151605904102
16,18.108356475830078,1.4718198144691996e-05,0.003836430376395583,22.50214385986328,5.4766172979725525e-05,0.007400417234748602
17,15.715505599975586,1.3344454600883182e-05,0.003653006162494421,45.22183609008789,9.920737647917122e-05,0.009960290044546127
18,15.883340835571289,1.3219773791206535e-05,0.003635900793597102,28.733089447021484,7.17930233804509e-05,0.008473075926303864
19,15.529898643493652,1.3271266652736813e-05,0.0036429748870432377,19.491830825805664,4.414778595673852e-05,0.006644379813224077
20,17.439847946166992,1.3862764717487153e-05,0.0037232732865959406,27.122600555419922,5.8846897445619106e-05,0.007671173196285963
21,17.497453689575195,1.4274766726884991e-05,0.003778196172788739,44.41645431518555,6.920364830875769e-05,0.00831887312233448
22,16.52326011657715,1.3983687495056074e-05,0.003739476902410388,18.42725372314453,4.428494139574468e-05,0.006654693279415369
23,15.591341018676758,1.2701531886705197e-05,0.0035639209672808647,26.531034469604492,8.179724682122469e-05,0.009044183418154716
24,17.0242977142334,1.3871092960471287e-05,0.00372439157217741,29.727405548095703,5.307070750859566e-05,0.007284964434802532
25,18.11994171142578,1.5202353097265586e-05,0.003899019444361329,22.942096710205078,3.669461148092523e-05,0.006057607941329479
26,15.196943283081055,1.2977998267160729e-05,0.003602498909458518,23.895130157470703,7.609778549522161e-05,0.008723404258489609
27,17.83186912536621,1.404513659508666e-05,0.003747684182599187,76.84883880615234,0.00027646898524835706,0.01662735641002655
28,16.411067962646484,1.372350197925698e-05,0.0037045245990157127,88.01362609863281,0.00031600898364558816,0.017776641994714737
29,16.93775177001953,1.4009116057422943e-05,0.00374287529848516,19.27241325378418,5.543699080590159e-05,0.007445602212101221
30,18.43586540222168,1.4418685168493539e-05,0.003797194454818964,32.53843688964844,8.566307224100456e-05,0.009255434386432171
31,15.909594535827637,1.3382709767029155e-05,0.0036582385655492544,54.24226379394531,0.00012171572598163038,0.011032485403120518
32,16.698543548583984,1.3815890270052478e-05,0.003716973355039954,34.804466247558594,8.563470328226686e-05,0.009253902360796928
33,16.391263961791992,1.332918691332452e-05,0.0036509158089756966,23.026155471801758,4.078808706253767e-05,0.006386555265635252
34,16.327341079711914,1.323304786637891e-05,0.003637725720182061,25.72608184814453,5.880367098143324e-05,0.007668355014175177
35,15.282877922058105,1.2282747775316238e-05,0.0035046751145273447,19.747173309326172,3.968141390942037e-05,0.0062993187457323074
