epoch,loss,mean_squared_error,root_mean_squared_error,val_loss,val_mean_squared_error,val_root_mean_squared_error
0,175.7989044189453,0.0011686980724334717,0.0341862253844738,88.18208312988281,0.00037749967304989696,0.019429350271821022
1,47.03068542480469,6.453134847106412e-05,0.008033140562474728,29.89583396911621,0.00011492219346109778,0.010720176622271538
2,32.55356216430664,3.5450375435175374e-05,0.005954021587967873,28.93488311767578,7.762116001686081e-05,0.008810287341475487
3,40.83242416381836,3.929463855456561e-05,0.006268543656915426,35.812808990478516,0.0001409836986567825,0.011873655952513218
4,22.31456756591797,2.1455834939843044e-05,0.004632044583559036,39.22053146362305,0.0001540963858133182,0.012413556687533855
5,19.97978973388672,1.9777302441070788e-05,0.004447167739272118,36.545536041259766,0.0001437277824152261,0.011988651938736439
6,24.444185256958008,2.3081322069629095e-05,0.0048043024726212025,38.49271011352539,0.0001486513647250831,0.01219226699322462
7,18.69994354248047,1.89123566087801e-05,0.004348834045231342,48.45305252075195,0.00017443910473957658,0.013207539916038513
8,20.329566955566406,1.9614662960520945e-05,0.004428844433277845,28.775177001953125,9.532832336844876e-05,0.009763622656464577
9,23.161972045898438,2.0628314814530313e-05,0.0045418404042720795,24.443744659423828,6.901049346197397e-05,0.008307255804538727
10,18.203338623046875,1.8811140762409195e-05,0.0043371813371777534,24.349851608276367,6.749205203959718e-05,0.00821535475552082
11,18.85995864868164,1.8909373466158286e-05,0.0043484908528625965,23.007509231567383,6.511709216283634e-05,0.008069516159594059
12,19.50872039794922,1.9427841834840365e-05,0.004407702479511499,27.991329193115234,8.282993803732097e-05,0.009101095609366894
13,19.93516731262207,2.007219154620543e-05,0.004480199888348579,24.50855827331543,6.175822636578232e-05,0.007858640514314175
14,18.764312744140625,1.9319124476169236e-05,0.004395352676510811,22.577634811401367,4.318281207815744e-05,0.006571363192051649
15,18.492267608642578,1.929247082443908e-05,0.004392319358885288,25.680673599243164,4.646939487429336e-05,0.006816846318542957
16,18.784757614135742,1.871198765002191e-05,0.004325735382735729,22.933988571166992,6.896741251694039e-05,0.008304662071168423
17,16.868818283081055,1.8149276002077386e-05,0.004260196816176176,63.02528381347656,0.00016437930753454566,0.012821049429476261
18,18.89585304260254,1.9449678802629933e-05,0.004410178866237402,36.72300338745117,0.00010881813068408519,0.010431593284010887
19,16.615646362304688,1.815780342440121e-05,0.0042611975222826,24.046178817749023,7.973096944624558e-05,0.008929220028221607
20,17.273822784423828,1.855130904004909e-05,0.004307122901082039,38.3260498046875,7.46709483792074e-05,0.008641235530376434
21,18.196170806884766,1.892070758913178e-05,0.0043497937731444836,22.668861389160156,6.046283306204714e-05,0.007775784935802221
22,17.745328903198242,1.8771133909467608e-05,0.004332566633820534,31.37462043762207,9.883949678624049e-05,0.00994180515408516
23,17.6334228515625,1.865125523181632e-05,0.004318709950894117,23.329551696777344,6.285435665631667e-05,0.007928074337542057
24,16.530776977539062,1.8028722479357384e-05,0.004246024414896965,25.663711547851562,7.824487693142146e-05,0.008845613338053226
25,16.959550857543945,1.8145827198168263e-05,0.004259791690856218,23.871540069580078,7.023242505965754e-05,0.00838047917932272
26,18.590049743652344,1.9132150555378757e-05,0.004374031443148851,25.118297576904297,8.419994992436841e-05,0.00917605310678482
27,17.548154830932617,1.8178550817538053e-05,0.004263631068170071,33.41575622558594,0.00010889316763496026,0.010435189120471478
28,17.262821197509766,1.8366761651122943e-05,0.004285646136850119,20.47801399230957,5.436526407720521e-05,0.007373280357569456
29,16.815181732177734,1.823571255954448e-05,0.004270329140126705,22.72970962524414,6.272237078519538e-05,0.00791974551975727
30,18.814552307128906,1.9186289136996493e-05,0.004380215425044298,36.38966369628906,9.62570557021536e-05,0.009811067953705788
31,17.5279541015625,1.8290349544258788e-05,0.004276721738278866,27.49112319946289,8.537471148883924e-05,0.009239844046533108
32,17.68669319152832,1.8535083654569462e-05,0.004305239301174879,21.25452423095703,5.25919531355612e-05,0.00725203100591898
33,16.017742156982422,1.7423331883037463e-05,0.00417412631213665,22.985843658447266,6.433649105019867e-05,0.008021003566682339
34,16.53425407409668,1.7751068298821338e-05,0.004213201813399792,20.324005126953125,5.269398388918489e-05,0.007259062025696039
35,16.587024688720703,1.7933896742761135e-05,0.004234842956066132,21.444194793701172,5.791965304524638e-05,0.007610496133565903
36,16.53824234008789,1.8265300241182558e-05,0.004273792263120413,23.184370040893555,7.033164729364216e-05,0.008386396802961826
37,16.209089279174805,1.8200857084593736e-05,0.004266246221959591,27.310466766357422,9.882592712529004e-05,0.00994112342596054
38,16.539260864257812,1.8049015125143342e-05,0.004248413257300854,24.41341781616211,5.4268926760414615e-05,0.007366744801402092
39,16.375749588012695,1.792719376680907e-05,0.004234051797538996,21.658496856689453,6.339500396279618e-05,0.007962098345160484
40,16.298141479492188,1.7361953723593615e-05,0.004166767932474613,21.701580047607422,5.8421792346052825e-05,0.007643415126949549
41,17.55931854248047,1.7936845324584283e-05,0.004235191270709038,21.18728256225586,6.35227988823317e-05,0.007970118895173073
42,16.80030632019043,1.805809915822465e-05,0.004249482415616512,20.90897560119629,5.898142626392655e-05,0.007679936476051807
43,16.18643569946289,1.7099386241170578e-05,0.0041351402178406715,21.759140014648438,3.5671884688781574e-05,0.005972594488412142
44,15.924365997314453,1.739562321745325e-05,0.004170806147158146,31.1883487701416,4.3122399802086875e-05,0.006566764786839485
45,17.0954647064209,1.8565875507192686e-05,0.004308813717216253,27.09532356262207,5.550419518840499e-05,0.0074501135386526585
46,16.874984741210938,1.8003787772613578e-05,0.004243087023496628,28.594539642333984,7.830715912859887e-05,0.008849132806062698
47,16.981365203857422,1.7946309526450932e-05,0.004236308392137289,22.21527099609375,7.462185021722689e-05,0.008638394065201283
48,16.007116317749023,1.75733493961161e-05,0.0041920579969882965,23.748058319091797,6.804827717132866e-05,0.008249137550592422
49,16.846708297729492,1.7430575098842382e-05,0.004174993839114904,55.168067932128906,8.727489330340177e-05,0.009342103265225887
50,15.953886032104492,1.6908536053961143e-05,0.0041119991801679134,25.609508514404297,8.004084520507604e-05,0.008946554735302925
51,16.65169334411621,1.7081949408748187e-05,0.004133031703531742,21.309389114379883,6.946104258531705e-05,0.008334329351782799
52,16.07419776916504,1.7329803085885942e-05,0.004162908066064119,21.48769187927246,6.488035432994366e-05,0.008054833859205246
53,16.015670776367188,1.7684331396594644e-05,0.004205274395644665,22.857158660888672,7.711009675404057e-05,0.008781235665082932
54,15.698826789855957,1.6787205822765827e-05,0.004097219090908766,21.438617706298828,5.963906005490571e-05,0.007722632959485054
