epoch,loss,mean_squared_error,root_mean_squared_error,val_loss,val_mean_squared_error,val_root_mean_squared_error
0,28.11617660522461,4.0446033381158486e-05,0.006359719671308994,14.21343994140625,1.0712642506405246e-05,0.0032730172388255596
1,25.358051300048828,2.8052318157278933e-05,0.005296444054692984,14.497915267944336,1.0495809874555562e-05,0.0032397236209362745
2,17.56163215637207,1.8704180547501892e-05,0.004324832931160927,13.922049522399902,6.537000899697887e-06,0.002556755905970931
3,17.17871856689453,1.6670845070621e-05,0.004082994535565376,12.284960746765137,5.9476674323377665e-06,0.0024387838784605265
4,16.598947525024414,1.535956653242465e-05,0.003919128328561783,11.056846618652344,6.379501428455114e-06,0.002525767544284463
5,16.599714279174805,1.4231248314899858e-05,0.0037724326830357313,10.957990646362305,5.8530858950689435e-06,0.002419315045699477
6,15.872004508972168,1.3763985407422297e-05,0.003709984477609396,14.11506462097168,8.337000508618075e-06,0.0028873863629996777
7,15.653114318847656,1.393694674334256e-05,0.0037332221399992704,17.118852615356445,6.719154043821618e-06,0.0025921331252902746
8,16.837526321411133,1.4906549040460959e-05,0.0038608999457210302,10.86244010925293,6.053056040400406e-06,0.0024602958001196384
9,17.6490421295166,1.5274294128175825e-05,0.003908234182745218,10.95256519317627,5.876619525224669e-06,0.00242417398840189
10,15.58321475982666,1.3205411050876137e-05,0.0036339249927550554,21.860858917236328,1.3145851880835835e-05,0.003625720739364624
11,15.660194396972656,1.4938276763132308e-05,0.003865006612613797,10.756768226623535,5.39730763193802e-06,0.002323210472241044
12,14.503734588623047,1.2033057828375604e-05,0.0034688697196543217,13.961277961730957,5.539194717130158e-06,0.002353549236431718
13,14.675352096557617,1.2392833923513535e-05,0.0035203457809984684,11.480587005615234,5.101915121485945e-06,0.002258741995319724
14,14.449101448059082,1.2635368875635322e-05,0.0035546263679862022,10.606856346130371,5.240013251750497e-06,0.002289107535034418
15,15.658020973205566,1.2512261491792742e-05,0.0035372674465179443,13.280389785766602,7.853294846427161e-06,0.002802373142912984
16,15.182048797607422,1.369634446746204e-05,0.0037008572835475206,14.43669605255127,5.638409220409812e-06,0.00237453356385231
17,16.202754974365234,1.3896763448428828e-05,0.003727836301550269,12.117887496948242,5.26558233104879e-06,0.0022946856915950775
18,14.623444557189941,1.170650648418814e-05,0.00342147727496922,11.562631607055664,6.449536158470437e-06,0.0025395937263965607
19,13.526819229125977,1.1325482773827389e-05,0.0033653355203568935,11.022785186767578,4.782034920935985e-06,0.0021867863833904266
20,13.851288795471191,1.1537227692315355e-05,0.0033966493792831898,11.978219985961914,4.866180461249314e-06,0.0022059420589357615
21,14.324013710021973,1.180077924800571e-05,0.003435226157307625,10.802251815795898,5.638918082695454e-06,0.002374640665948391
22,13.059072494506836,1.1380580872355495e-05,0.003373511601239443,14.462031364440918,5.352618245524354e-06,0.0023135726805776358
23,13.541298866271973,1.0113366442965344e-05,0.0031801520381122828,10.462716102600098,5.070648057881044e-06,0.0022518099285662174
24,12.784046173095703,9.450266588828526e-06,0.003074128646403551,10.458133697509766,4.697281838161871e-06,0.002167321275919676
25,13.441433906555176,1.0938469131360762e-05,0.0033073355443775654,16.439857482910156,8.500537660438567e-06,0.002915568184107542
26,13.394207954406738,1.0447069143992849e-05,0.00323219271376729,10.26872730255127,4.876211278315168e-06,0.0022082144860178232
27,13.74106216430664,1.0913083315244876e-05,0.0033034957014024258,10.30801773071289,5.079446054878645e-06,0.0022537626791745424
28,13.120856285095215,1.0415386896056589e-05,0.0032272879034280777,12.476263046264648,4.7086941776797175e-06,0.002169952495023608
29,12.817625999450684,9.783591849554796e-06,0.003127873409539461,11.617874145507812,4.504983280639863e-06,0.00212249462492764
30,14.516609191894531,1.1442950381024275e-05,0.0033827428705990314,10.830492973327637,5.466513357532676e-06,0.002338057616725564
31,13.246004104614258,1.064991101884516e-05,0.0032634201925247908,10.28570556640625,4.793432708538603e-06,0.002189390826970339
32,13.14651870727539,1.0190048669755924e-05,0.0031921854242682457,10.248337745666504,4.655528755392879e-06,0.0021576674189418554
33,12.782185554504395,9.97794541035546e-06,0.003158788662403822,10.18071460723877,4.718726813734975e-06,0.002172263106331229
34,13.176403999328613,1.0340366316086147e-05,0.0032156440429389477,10.186185836791992,4.720271590485936e-06,0.0021726186387240887
35,13.599573135375977,1.1097400602011476e-05,0.003331276122480631,12.741517066955566,6.433010184991872e-06,0.002536337822675705
36,13.114397048950195,1.0752185517048929e-05,0.0032790524419397116,11.337138175964355,4.4275489017309155e-06,0.0021041741129010916
37,13.663248062133789,1.0402096449979581e-05,0.003225228050723672,12.541119575500488,6.521888735733228e-06,0.002553798956796527
38,12.675564765930176,1.0023770300904289e-05,0.003166033886373043,14.521407127380371,7.5666171142074745e-06,0.002750748535618186
39,12.63006591796875,1.0484480299055576e-05,0.0032379748299717903,10.249565124511719,4.835488198295934e-06,0.0021989743690937757
40,12.220789909362793,9.424767085874919e-06,0.0030699782073497772,12.276529312133789,5.9547051023400854e-06,0.002440226497128606
41,12.545350074768066,9.830412636802066e-06,0.003135348903015256,10.753094673156738,4.344080480223056e-06,0.0020842456724494696
42,12.560165405273438,9.426100405107718e-06,0.0030701954383403063,10.283004760742188,4.4201797209098e-06,0.00210242229513824
43,12.705784797668457,1.032461386785144e-05,0.0032131937332451344,10.344634056091309,4.538160283118486e-06,0.0021302958484739065
44,12.300376892089844,9.877480806608219e-06,0.0031428460497409105,11.92284107208252,5.840881385665853e-06,0.0024167916271835566
45,12.947765350341797,9.651054824644234e-06,0.0031066148076206446,10.536941528320312,4.2468491301406175e-06,0.0020607884507626295
46,12.26067066192627,9.842421604844276e-06,0.0031372634693980217,10.934951782226562,5.402543138188776e-06,0.002324337139725685
47,12.204374313354492,8.693103154655546e-06,0.0029484068509191275,12.312665939331055,5.97580174144241e-06,0.0024445452727377415
48,12.851452827453613,9.921644050336909e-06,0.0031498640310019255,13.880672454833984,7.117723271221621e-06,0.0026679059956222773
49,13.032327651977539,1.0130620466952678e-05,0.0031828635837882757,10.064835548400879,4.671699571190402e-06,0.0021614113356918097
50,12.305570602416992,9.387076715938747e-06,0.003063833573833108,10.763798713684082,5.087240424472839e-06,0.0022554912138730288
51,12.331123352050781,9.626224709791131e-06,0.0031026157084852457,12.789072036743164,6.363657576002879e-06,0.0025226289872080088
52,12.330869674682617,9.484572728979401e-06,0.0030797033105045557,10.579998016357422,5.15469400852453e-06,0.0022703951690346003
53,12.315017700195312,9.4516381068388e-06,0.0030743516981601715,11.429414749145508,5.301328201312572e-06,0.002302461303770542
54,12.152045249938965,9.297655196860433e-06,0.0030492055229842663,10.685883522033691,4.28821795139811e-06,0.002070801332592964
55,12.031787872314453,9.201113243761938e-06,0.0030333336908370256,9.99760627746582,4.378201083454769e-06,0.002092415001243353
56,11.984640121459961,9.59890712692868e-06,0.003098210319876671,10.258102416992188,4.089106369065121e-06,0.0020221539307385683
